ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000000918,0.000000090
4,0.000000813,0.000000136
8,0.000002421,0.000000334
16,0.000011109,0.000001834
32,0.000049298,0.000012190
64,0.000245821,0.000096465
128,0.001301849,0.000824028
256,0.010694750,0.008781780
512,0.083206908,0.075497577
1024,0.919388542,0.890307027
2048,14.305949768,14.187779732
4096,179.594941364,179.128804064
