Iteration,InterpTime,MoverTime,TotalTime
1,0.192855,0.190624,0.383479
2,0.193032,0.045810,0.238842
3,0.172515,0.045653,0.218168
4,0.136374,0.045653,0.182028
5,0.119349,0.045586,0.164935
6,0.111023,0.045853,0.156876
7,0.105806,0.045541,0.151348
8,0.102629,0.045609,0.148239
9,0.101458,0.046018,0.147477
10,0.099551,0.045586,0.145137
