Particles,InterpTime,MoverTime,TotalTime
100,0.000004,0.000005,0.000009
10000,0.000374,0.000414,0.000788
1000000,0.036883,0.042014,0.078897
100000000,3.168826,3.782344,6.951170
1000000000,514.387805,475.937825,990.325630
