Config,NX,NY,Particles,TotalInterpolationTime
1,250,100,100,0.000018
1,250,100,10000,0.001584
1,250,100,1000000,0.092389
1,250,100,100000000,6.956851
1,250,100,1000000000,70.738808
2,500,200,100,0.000009
2,500,200,10000,0.000790
2,500,200,1000000,0.091019
2,500,200,100000000,10.517191
2,500,200,1000000000,98.732069
3,1000,400,100,0.000031
3,1000,400,10000,0.002527
3,1000,400,1000000,0.116168
3,1000,400,100000000,10.428851
3,1000,400,1000000000,106.839492
