ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000000987,0.000000168
4,0.000000820,0.000000203
8,0.000002224,0.000000374
16,0.000010202,0.000001596
32,0.000040702,0.000010385
64,0.000219402,0.000082553
128,0.001156142,0.000648608
256,0.006966404,0.005026650
512,0.049342322,0.041495678
1024,0.336000651,0.305507081
2048,4.270169852,4.152041229
4096,31.594620996,31.127225090
