Particles,InterpTime,MoverTime,TotalTime
100,0.000019,0.000026,0.000046
10000,0.001623,0.002539,0.004162
1000000,0.093927,0.142713,0.236640
100000000,6.873404,10.468109,17.341513
1000000000,68.758350,104.658282,173.416633
