ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001132,0.000000258
4,0.000000853,0.000000279
8,0.000003297,0.000000534
16,0.000010345,0.000003226
32,0.000042472,0.000013306
64,0.000228302,0.000090142
128,0.001275182,0.000811736
256,0.008994286,0.007170230
512,0.066774950,0.059080375
1024,0.506132651,0.476510191
2048,4.867178074,4.749068959
4096,41.497121785,41.029796671
