Particles,InterpTime,MoverTime,TotalTime
100,0.000017,0.000027,0.000044
10000,0.001487,0.002361,0.003849
1000000,0.092291,0.141744,0.234035
100000000,6.737086,10.427036,17.164122
1000000000,68.320413,106.386425,174.706837
