Particles,InterpTime,MoverTime,TotalTime
100,0.000025,0.000011,0.000036
10000,0.002145,0.001039,0.003183
1000000,0.089846,0.103662,0.193508
100000000,9.529722,10.372513,19.902234
1000000000,105.124517,105.501158,210.625675
