Particles,InterpTime,MoverTime,TotalTime
100,0.000005,0.000004,0.000009
10000,0.000350,0.000365,0.000715
1000000,0.035635,0.036378,0.072014
100000000,3.241378,3.413049,6.654428
1000000000,522.141280,505.348805,1027.490085
