ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000040764,0.000000926
4,0.000001683,0.000000556
8,0.000005537,0.000002704
16,0.000020149,0.000009563
32,0.000083619,0.000044914
64,0.000495492,0.000332148
128,0.003066216,0.002466197
256,0.020947189,0.018607477
512,0.133643508,0.125074805
1024,0.992322266,0.963723551
2048,8.587953817,8.466976918
4096,68.515105601,68.030187757
