Iteration,InterpTime,MoverTime,TotalTime
1,0.107607,0.081973,0.189580
2,0.107445,0.025201,0.132645
3,0.043774,0.025189,0.068962
4,0.040615,0.024480,0.065096
5,0.040727,0.024722,0.065449
6,0.040367,0.024640,0.065007
7,0.039793,0.024185,0.063978
8,0.039570,0.027863,0.067433
9,0.040046,0.026408,0.066454
10,0.039903,0.025427,0.065330
