ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000045855,0.000000193
4,0.000001449,0.000000283
8,0.000005762,0.000000782
16,0.000016890,0.000005045
32,0.000074549,0.000038559
64,0.000507804,0.000362989
128,0.003758776,0.003195595
256,0.028498561,0.026215027
512,0.200757374,0.192787320
1024,1.604303121,1.576451658
2048,98.693057100,98.590350073
4096,712.585048563,712.171376433
